CustomerID,CompanyName,Industry,Country,City,Address,SignupDate
1,"Chaudry, Divan and Gopal",Tech,India,Bhavnagar,"12/916, Sur Nagar, Karnal 451250",2026-01-27
2,De LLC,Manufacturing,India,Gorakhpur,"68/38, Hegde, Tadipatri 210029",2024-09-12
3,"Sodhi, Ram and Kapadia",Retail,India,Bhiwani,"155, Vaidya, Karaikudi-656542",2025-02-17
4,Ramanathan-Sen,Manufacturing,India,Gandhinagar,"47/867, Ben Marg, Sangli-Miraj & Kupwad 153315",2025-11-13
5,Koshy-Choudhary,Manufacturing,India,Baranagar,"H.No. 26, Swamy Circle, Orai 108225",2023-08-16
6,Shroff PLC,Healthcare,India,Kumbakonam,"H.No. 41, Kurian Road, Rajkot 705263",2025-12-03
7,Anne-Desai,Retail,India,Bellary,"H.No. 20, Guha Nagar, Warangal 105733",2025-04-24
8,Badal-Dara,Retail,India,Gaya,"23/36, Bhattacharyya Path, Rajkot 294905",2024-10-13
9,"Edwin, Sood and Jha",Retail,India,Katihar,"452, Kuruvilla Circle, Gulbarga 336164",2023-05-29
10,Iyengar Group,Manufacturing,India,Kota,"84/192, Divan Street, Srikakulam-361790",2024-09-07
11,"Chana, Lala and Banik",Tech,India,Phusro,"51/80, Mani Marg, Kolhapur-584299",2024-11-12
12,Acharya-Deol,Retail,India,Tadipatri,"47/299, Arya Zila, Nagaon-301912",2024-09-07
13,Ray-Deep,Manufacturing,India,Fatehpur,"H.No. 106, Khosla, Malegaon-932721",2025-07-18
14,Shanker-Som,Healthcare,India,Madhyamgram,"H.No. 38, Jayaraman Circle, New Delhi-838528",2024-10-13
15,"Mammen, Savant and De",Tech,India,Bhavnagar,"34/86, Issac Circle, Mathura-618845",2024-02-11
16,Kaul-Sha,Healthcare,India,Salem,"H.No. 312, Boase Path, Asansol 748361",2025-02-21
17,Dave-Ray,Tech,India,Ballia,"44/30, Saha Zila, Bongaigaon 981760",2025-06-22
18,Bahl-Karnik,Manufacturing,India,Mysore,"H.No. 032, Dayal Zila, Gwalior 804705",2025-04-14
19,"Anne, Raja and Konda",Finance,India,Jodhpur,"66, Thaman Road, Bilaspur-784956",2025-12-13
20,Jaggi-Behl,Tech,India,Vijayanagaram,"691, Iyer Street, Kharagpur-210448",2025-07-18
21,"Cheema, Ghosh and Borde",Healthcare,India,Chennai,"H.No. 809, Chand Nagar, Bhilwara 749913",2024-04-14
22,"Dasgupta, Sanghvi and Kamdar",Manufacturing,India,Kakinada,"75/04, Samra Path, Bhatpara-989089",2023-07-24
23,Maharaj Inc,Tech,India,Chinsurah,"92, Mahajan Nagar, Kozhikode 330517",2025-05-01
24,Sidhu Group,Finance,India,Ludhiana,"048, Bhargava Zila, Warangal 547087",2025-02-25
25,Dugal PLC,Finance,India,Nagpur,"68, Varty Marg, Chittoor-766761",2025-07-21
26,Bera LLC,Retail,India,Panvel,"31/35, Bath Nagar, Raebareli-952704",2026-01-14
27,Varma and Sons,Retail,India,Anantapuram,"H.No. 19, Bhatnagar, Mau 294585",2023-08-14
28,"Kara, Wali and Subramaniam",Healthcare,India,Maheshtala,"H.No. 024, Jha Street, Amravati-292226",2023-12-24
29,Gour-Kanda,Tech,India,Raipur,"81, Khatri Nagar, Morbi-757676",2026-01-01
30,Barad PLC,Tech,India,Dhule,"H.No. 179, Sama Chowk, Khammam 716127",2025-07-23
31,Sawhney LLC,Retail,India,Vellore,"H.No. 40, Badami Path, Anantapur-496294",2024-09-18
32,"Bal, Shan and Sarma",Tech,India,Bidar,"01/495, Boase Path, Ambattur 894167",2024-11-24
33,"Saini, Gera and Hayre",Tech,India,Dhule,"72, Sehgal Marg, Kolkata-624397",2025-08-23
34,"Dara, Saraf and Virk",Finance,India,Raichur,"907, Baral Ganj, Singrauli 814809",2025-04-03
35,"Savant, Mandal and Bora",Retail,India,Bijapur,"44/019, Sawhney Chowk, Rajahmundry 722783",2024-08-30
36,"Thakur, Dua and Dora",Manufacturing,India,Thiruvananthapuram,"H.No. 79, Mallick Road, Anantapuram 400487",2024-12-12
37,Hans-Mand,Retail,India,Shimla,"087, Maharaj Circle, Nellore-158456",2025-12-24
38,"Lata, Kakar and Srinivas",Manufacturing,India,Kottayam,"H.No. 59, Samra Street, Tiruppur 239284",2026-03-18
39,Sethi-Dhaliwal,Finance,India,Bhiwandi,"H.No. 881, Acharya, Naihati-257522",2025-08-14
40,Bail-Bhat,Healthcare,India,Thane,"H.No. 831, Sarma, Siliguri 276319",2025-10-12
41,"Ratta, Singh and Raju",Tech,India,Saharsa,"H.No. 19, Bhatti Nagar, Serampore 225049",2023-12-29
42,Bora PLC,Finance,India,Bilaspur,"H.No. 233, Baral Ganj, Jamshedpur 633668",2024-09-04
43,Kapur-Bhatti,Tech,India,Gangtok,"H.No. 39, Shah Marg, Asansol 047040",2025-09-01
44,Johal PLC,Healthcare,India,Machilipatnam,"446, Dutta Circle, Chapra 666197",2025-06-09
45,Kari PLC,Healthcare,India,Thane,"472, Comar Path, Belgaum 844146",2024-01-09
46,"Dugal, Saraf and Chadha",Finance,India,Dibrugarh,"71, Chahal Chowk, Anantapur 535739",2026-02-03
47,"Soman, Dugal and Dhillon",Healthcare,India,Serampore,"298, Khare Chowk, Bettiah-612782",2025-06-02
48,"Kurian, Char and Batta",Manufacturing,India,Parbhani,"08/941, Salvi Road, South Dumdum-104261",2025-04-03
49,"Warrior, Apte and Bose",Healthcare,India,Salem,"48, Dugar Ganj, Bulandshahr 658588",2026-03-01
50,Bhattacharyya and Sons,Tech,India,Nellore,"236, Sarin Nagar, Loni-935291",2024-06-23
51,Karpe and Sons,Tech,India,Kollam,"244, Sharma Zila, Bettiah-707993",2024-02-08
52,"Sunder, Deol and Chhabra",Tech,India,Vellore,"60/65, Hari, Gangtok-513502",2024-02-17
53,"Luthra, Jayaraman and Sankar",Tech,India,Danapur,"H.No. 76, Sachdeva Nagar, Dhanbad 597161",2024-12-14
54,"Badami, Sami and Buch",Manufacturing,India,Aurangabad,"70, Ram Nagar, Patiala-869678",2026-04-06
55,Halder-Bains,Retail,India,Srinagar,"27/50, Varghese Road, Gaya 377021",2025-04-18
56,Date LLC,Finance,India,Lucknow,"H.No. 590, Balakrishnan Path, Ranchi-233626",2024-05-12
57,Arya-Subramaniam,Tech,India,Ongole,"46/18, Sheth Road, Hubli–Dharwad-844455",2023-09-30
58,Gole-Gulati,Healthcare,India,Guntakal,"47, Goyal Road, Sagar 618440",2023-09-29
59,Rastogi-Jayaraman,Tech,India,Jabalpur,"596, Arora Chowk, Farrukhabad-823962",2024-08-22
60,Atwal-Kumer,Healthcare,India,Patiala,"H.No. 81, Chatterjee Zila, Kanpur 499388",2025-05-08
61,"Kadakia, Bhandari and Lal",Healthcare,India,Navi Mumbai,"H.No. 48, Bhatti Marg, Navi Mumbai-048901",2025-09-08
62,Dara LLC,Tech,India,Ahmedabad,"59/687, Kanda Zila, Rewa-228839",2023-08-19
63,Varty-Kalla,Manufacturing,India,Bhagalpur,"11/305, Borah Street, Ahmednagar 568264",2025-10-20
64,Gade-Buch,Healthcare,India,Ambarnath,"H.No. 011, Rama, Nashik-406342",2025-09-05
65,Tata and Sons,Healthcare,India,Pondicherry,"47/87, Rana Street, Jhansi-047825",2023-05-13
66,Chandran LLC,Tech,India,Nizamabad,"H.No. 18, Thakur Ganj, Berhampur-463591",2025-05-01
67,Sen PLC,Healthcare,India,Hosur,"04, Rau Zila, Orai-053687",2025-09-10
68,Borra-Vig,Healthcare,India,Ramagundam,"617, Viswanathan Street, Korba-306892",2026-04-13
69,"Sankaran, Raval and Kade",Tech,India,Jalna,"22, Dara Zila, Tiruppur 667943",2023-10-07
70,Jayaraman LLC,Tech,India,Sasaram,"88, Magar Ganj, Panihati 189410",2023-06-11
71,Kibe-Varughese,Finance,India,Hyderabad,"334, Agarwal Zila, Nagaon-085077",2023-12-22
72,"Chandran, Ratti and Sampath",Manufacturing,India,Jehanabad,"H.No. 76, Kari Ganj, Chandrapur-667351",2023-07-20
73,Sarna Inc,Manufacturing,India,Shivpuri,"80/065, Halder Ganj, Chittoor 903460",2026-02-05
74,Sarna-Shukla,Healthcare,India,Kanpur,"37/38, Uppal Marg, Bhagalpur-477203",2023-10-01
75,Jaggi-Sant,Manufacturing,India,Ambala,"31/81, Majumdar Circle, Berhampore 322992",2023-05-18
76,Ranganathan Group,Healthcare,India,Nellore,"15, Shah Zila, Mangalore 813953",2024-01-21
77,Dhar-Singh,Finance,India,Gandhinagar,"H.No. 437, Sagar Road, Sonipat 291095",2025-06-06
78,"Som, Bera and Bansal",Tech,India,Jamshedpur,"H.No. 78, Guha Road, Darbhanga 122289",2025-04-07
79,Madan and Sons,Tech,India,Amravati,"H.No. 788, Singhal Street, Berhampur 076211",2025-12-26
80,Varty-Gokhale,Tech,India,Panvel,"10/505, Dalal Ganj, Fatehpur-090649",2025-07-24
81,"Mahajan, Rana and Trivedi",Manufacturing,India,Malda,"21/40, Dora Road, Proddatur-160702",2024-12-16
82,Issac Inc,Finance,India,Rajkot,"02, Dewan Zila, Sagar 212911",2025-04-03
83,Balasubramanian-Rattan,Manufacturing,India,Jorhat,"H.No. 241, Das Street, Kollam 499229",2025-01-18
84,Deo LLC,Manufacturing,India,Gandhidham,"H.No. 491, Kata Street, Bulandshahr 561895",2024-09-06
85,Kota Inc,Finance,India,Ujjain,"51/130, Dhar Ganj, Nizamabad 527662",2023-10-19
86,Mammen Ltd,Finance,India,Bardhaman,"181, Uppal Nagar, Barasat-180239",2026-02-28
87,Toor-Bhagat,Finance,India,Jabalpur,"03/03, Rastogi Path, Bettiah 369273",2024-07-10
88,Hegde Inc,Finance,India,Begusarai,"56/40, Bal Road, Bilaspur 827648",2026-03-07
89,"Lall, Dhaliwal and Dugal",Tech,India,Shimoga,"78/34, Ray Circle, Maheshtala-280036",2026-03-06
90,Goel PLC,Retail,India,Bhiwandi,"H.No. 71, Thaman Nagar, Jhansi-507010",2025-02-07
91,"Sarin, Acharya and Wali",Retail,India,Howrah,"423, Chaudhuri, Kollam-955689",2023-10-13
92,Barad-Ganguly,Finance,India,Saharanpur,"H.No. 754, Kaur Road, Bahraich-420605",2023-06-18
93,Dara-Banik,Retail,India,Madhyamgram,"86, Krishna Zila, Mehsana 034987",2024-09-07
94,"Ray, Chahal and Dave",Retail,India,Gulbarga,"08/24, Chopra Road, Sultan Pur Majra-153951",2023-09-03
95,Tripathi Inc,Finance,India,Navi Mumbai,"20/810, Taneja Road, Rewa 017035",2023-07-14
96,"Kannan, Garg and Banik",Retail,India,Unnao,"96/861, Karpe, Kollam 111776",2024-10-28
97,"Dyal, Bhavsar and Chada",Manufacturing,India,Aligarh,"49/35, Balay Zila, Phusro 619667",2026-02-03
98,"Halder, Walia and Sama",Healthcare,India,Phagwara,"294, Dada Marg, Anantapuram-113339",2025-05-24
99,Saran-Mannan,Healthcare,India,Kishanganj,"16/21, Trivedi Marg, Kolkata-972578",2024-06-02
100,Walia-Golla,Finance,India,Guntakal,"H.No. 40, Dugal Path, Chennai-903754",2023-12-21
101,Mane Ltd,Tech,India,Avadi,"95/07, Krishna Ganj, Dibrugarh-706319",2023-06-15
102,"Venkataraman, Bhavsar and Sabharwal",Finance,India,Gangtok,"79, Bhavsar Nagar, Alwar-332034",2026-02-18
103,Doshi-Sharaf,Tech,India,Meerut,"326, Thakur Ganj, Rajkot 634619",2023-12-02
104,Keer PLC,Healthcare,India,Agra,"H.No. 44, Deo Path, Barasat-759631",2024-10-15
105,Bumb-Chakrabarti,Finance,India,Ambattur,"H.No. 08, Kala Chowk, Muzaffarpur-501127",2025-10-07
