OrderID,CustomerID,EmployeeID,OrderDate,TotalAmount,DealStage
1,6631,248,2025-07-05,28685.55,Won
2,9787,100,2025-12-04,45779.39,Won
3,566,195,2026-03-12,34796.37,Won
4,4800,188,2026-02-20,31150.13,Won
5,7671,193,2025-06-13,8103.99,Won
6,2869,12,2025-05-13,21815.19,Pipeline
7,9050,266,2026-01-26,26165.64,Lost
8,9477,375,2025-07-06,40832.78,Won
9,8777,455,2025-08-25,39522.68,Pipeline
10,4328,281,2025-06-27,44297.1,Won
11,6414,475,2026-03-11,41567.61,Won
12,7615,347,2025-05-13,42851.73,Pipeline
13,1246,61,2025-12-17,685.92,Pipeline
14,8244,326,2025-11-23,9340.44,Won
15,538,340,2026-04-15,5579.3,Pipeline
16,541,49,2025-05-05,6022.78,Pipeline
17,815,150,2025-10-23,5737.25,Won
18,1416,498,2026-01-13,23488.84,Pipeline
19,1653,282,2025-08-03,21593.13,Pipeline
20,4063,493,2025-10-12,20746.34,Lost
21,2357,489,2025-05-25,10966.5,Pipeline
22,3811,32,2026-04-16,21859.82,Won
23,9056,343,2025-12-15,6933.48,Pipeline
24,186,65,2025-04-24,39245.71,Won
25,1552,228,2026-02-02,40470.42,Pipeline
26,7014,405,2025-11-18,42214.49,Lost
27,762,334,2025-08-19,49699.23,Lost
28,9472,147,2025-10-09,2292.53,Won
29,6164,409,2026-04-09,28693.31,Pipeline
30,7636,393,2026-04-16,12506.8,Won
31,3282,297,2025-07-07,20421.01,Pipeline
32,1537,29,2025-06-18,41748.64,Lost
33,6202,494,2026-02-27,11999.57,Won
34,3165,303,2026-04-16,44233.77,Won
35,2771,450,2025-05-11,37929.19,Lost
36,7400,111,2026-03-29,17112.38,Won
37,3846,115,2025-06-23,15828.63,Won
38,3436,223,2026-03-22,14570.12,Lost
39,4711,378,2025-07-18,3100.02,Won
40,562,159,2026-03-23,2667.63,Won
41,4718,14,2025-05-06,10016.76,Lost
42,7624,151,2026-01-28,37032.7,Pipeline
43,7188,223,2025-08-26,37638.48,Lost
44,2181,294,2025-09-28,32737.59,Lost
45,1961,208,2025-09-20,30122.24,Pipeline
46,3880,136,2025-06-22,4373.43,Pipeline
47,5154,460,2025-12-22,5345.19,Lost
48,7036,385,2025-08-21,30901.06,Won
49,3271,188,2026-01-05,36300.26,Lost
50,4688,128,2025-10-19,7031.03,Lost
51,583,168,2026-01-31,12523.9,Pipeline
52,9806,14,2026-02-01,25585.65,Won
53,9294,220,2026-02-01,9729.18,Lost
54,289,193,2025-09-24,6320.01,Won
55,5665,470,2025-06-03,43679.17,Lost
56,7980,493,2025-04-22,11625.9,Pipeline
57,3860,412,2025-04-30,3152.51,Won
58,3061,77,2025-12-12,45338.06,Won
59,1184,72,2025-06-21,3355.96,Won
60,4336,250,2025-11-05,37109.94,Pipeline
61,1447,439,2025-05-19,44177.28,Lost
62,6680,179,2025-08-05,19505.02,Lost
63,9942,135,2025-07-03,17699.7,Lost
64,6214,131,2025-09-21,10143.62,Lost
65,1904,91,2025-11-05,19211.04,Pipeline
66,7895,275,2025-06-14,22579.61,Lost
67,9270,366,2025-06-05,6763.89,Lost
68,2378,277,2025-05-08,11200.34,Lost
69,848,242,2025-11-30,18996.66,Pipeline
70,7371,300,2026-03-06,18665.2,Pipeline
71,6342,192,2025-10-01,7376.25,Lost
72,1240,65,2025-08-13,48649.75,Won
73,5601,350,2025-06-14,44276.04,Lost
74,9525,404,2025-07-30,44551.84,Lost
75,4792,461,2025-06-09,7669.01,Pipeline
76,2366,132,2025-11-13,24564.6,Lost
77,5056,500,2025-06-02,34425.46,Won
78,5623,348,2025-05-12,2647.34,Won
79,373,474,2026-01-30,1605.15,Pipeline
80,7784,122,2025-08-10,10014.79,Pipeline
81,1950,319,2025-08-09,18727.1,Won
82,245,105,2025-11-24,7065.56,Pipeline
83,7796,451,2025-07-24,9002.34,Won
84,5773,382,2025-06-29,40934.77,Lost
85,125,422,2025-05-07,39961.9,Won
86,1920,253,2025-06-28,38905.35,Lost
87,9828,423,2026-02-04,12403.23,Lost
88,9618,327,2025-05-17,11312.41,Lost
89,9733,389,2026-04-15,44432.76,Pipeline
90,531,338,2025-07-11,43430.18,Won
91,7850,2,2026-01-31,18698.71,Pipeline
92,6930,377,2025-05-23,29063.31,Won
93,4350,205,2025-06-21,35923.66,Pipeline
94,4757,461,2025-06-07,46716.46,Pipeline
95,1802,303,2025-06-13,3457.9,Won
96,5157,97,2025-06-14,28787.45,Pipeline
97,7857,110,2025-11-21,45887.87,Pipeline
98,5462,289,2025-09-19,13455.73,Lost
99,9229,175,2025-10-18,4264.03,Pipeline
100,5303,464,2025-10-01,6634.69,Lost
101,7433,264,2025-06-28,5203.68,Lost
102,6190,311,2025-04-22,4165.55,Won
103,1143,108,2026-02-20,8892.63,Pipeline
104,7077,361,2026-03-14,34076.87,Won
105,7615,304,2025-11-17,1750.22,Pipeline
106,9948,496,2025-11-26,16293.81,Won
107,4841,140,2025-06-29,24295.28,Lost
108,1630,102,2025-10-19,9465.77,Pipeline
109,5063,189,2025-12-10,6823.33,Lost
110,763,320,2025-12-22,3419.46,Pipeline
111,6906,172,2025-08-13,49929.61,Won
112,4890,163,2025-05-10,7800.76,Won
113,4840,32,2025-10-27,34290.83,Won
114,3958,66,2025-08-25,33557.08,Won
115,558,63,2025-07-12,30370.65,Won
116,4622,172,2026-04-03,38589.2,Lost
117,840,71,2026-01-30,18434.59,Lost
118,8195,123,2025-09-13,29422.18,Won
119,9244,177,2025-06-06,8799.67,Won
120,9597,232,2025-12-28,19087.62,Won
121,8349,447,2025-12-01,48719.11,Lost
122,6999,120,2026-01-12,31601.41,Won
123,511,425,2025-08-28,9079.58,Won
124,1138,327,2025-08-07,46162.4,Lost
125,5607,35,2025-10-21,21364.98,Pipeline
126,4667,335,2026-03-13,18318.42,Pipeline
127,8907,442,2025-05-21,21094.11,Pipeline
128,5435,198,2026-01-18,23829.3,Won
129,6447,6,2025-04-23,17710.36,Won
130,2655,268,2025-05-12,9615.33,Pipeline
131,991,226,2025-10-21,7771.53,Won
132,7821,132,2025-04-22,26782.21,Lost
133,2161,34,2025-06-02,12120.29,Won
134,5741,35,2025-10-11,44421.79,Pipeline
135,4458,199,2025-08-01,45477.46,Lost
136,2064,360,2025-09-10,17022.93,Pipeline
137,1978,459,2025-11-13,9117.75,Lost
138,8568,353,2025-11-20,38879.26,Won
139,8934,456,2025-08-11,5494.74,Pipeline
140,2668,237,2026-01-30,44454.68,Pipeline
141,9433,379,2025-05-30,19702.01,Lost
142,4920,7,2026-02-19,12103.4,Lost
143,8610,471,2026-01-06,42745.59,Won
144,7643,451,2025-12-23,32343.82,Lost
145,8799,393,2025-05-21,1764.85,Pipeline
146,8760,29,2025-07-21,48498.96,Won
147,544,251,2025-08-20,49020.38,Won
148,884,179,2025-05-08,42276.24,Won
149,4799,263,2025-06-12,41721.39,Pipeline
150,8041,120,2026-04-10,5994.62,Pipeline
151,9416,18,2025-06-30,5339.65,Won
152,5719,212,2025-08-03,3514.82,Pipeline
153,2069,351,2026-01-29,16385.26,Pipeline
154,7479,276,2025-05-06,11050.17,Pipeline
155,8121,447,2026-04-06,16393.21,Won
156,7821,279,2026-01-03,33038.32,Lost
157,1787,214,2026-04-14,13763.44,Pipeline
158,5716,314,2026-02-18,24542.59,Lost
159,9650,303,2025-08-04,34208.59,Lost
160,8270,22,2026-03-27,8092.67,Lost
161,1309,438,2026-02-20,49573.36,Won
162,8840,428,2025-12-19,43474.71,Lost
163,8745,169,2025-09-28,36929.99,Lost
164,8474,335,2025-10-27,49445.1,Lost
165,9474,13,2025-10-24,4696.03,Won
166,4862,267,2025-12-12,3087.89,Won
167,2777,212,2025-11-25,13213.67,Won
168,1597,283,2026-02-16,17139.0,Lost
169,480,474,2025-12-02,33429.26,Won
170,3313,303,2026-03-12,49876.12,Pipeline
171,6157,18,2026-01-18,45454.45,Pipeline
172,7920,348,2025-09-09,32705.89,Pipeline
173,6745,130,2026-01-25,10695.22,Won
174,3899,12,2025-10-17,28010.35,Lost
175,2073,377,2026-03-28,37748.44,Lost
176,9488,4,2025-10-29,39691.55,Pipeline
177,5625,202,2025-11-03,49491.25,Won
178,939,297,2025-05-19,3735.21,Won
179,8177,366,2025-08-17,47147.37,Won
180,762,272,2026-04-11,8684.37,Lost
181,7255,161,2026-02-10,31948.06,Pipeline
182,1670,428,2025-10-04,33733.83,Won
183,7129,59,2026-02-04,13951.49,Pipeline
184,3863,450,2025-12-10,8263.63,Won
185,2686,239,2026-02-21,15913.71,Pipeline
186,6635,255,2025-06-29,15160.01,Lost
187,1932,215,2025-09-10,39702.39,Won
188,7309,334,2025-10-30,10934.83,Won
189,3940,28,2026-03-07,36578.23,Pipeline
190,1127,363,2025-05-17,7892.27,Won
191,6022,252,2025-07-02,20430.55,Lost
192,6438,97,2025-05-05,8880.08,Won
193,7040,176,2025-11-02,46410.64,Won
194,5374,344,2025-06-11,40346.55,Won
195,1204,412,2025-12-06,1368.76,Won
196,4136,487,2026-03-30,18221.96,Lost
197,8712,411,2025-10-24,17765.21,Won
198,7905,13,2025-06-07,24149.5,Lost
199,2284,186,2026-04-04,11283.32,Won
200,4559,2,2025-10-28,26923.31,Won
201,5348,380,2025-09-05,16307.09,Won
202,7868,349,2025-07-06,20986.54,Lost
