PaymentID,OrderID,PaymentDate,AmountPaid,PaymentMethod
1,1,2025-12-14,21844.56,UPI
2,2,2025-09-05,15293.23,UPI
3,3,2025-08-18,40762.89,Card
4,4,2025-09-13,14588.62,Bank Transfer
5,5,2025-07-19,3558.71,Card
6,6,2025-09-26,23440.61,UPI
7,7,2025-07-12,11676.08,UPI
8,8,2025-05-24,47529.38,UPI
9,9,2025-11-13,2448.66,Bank Transfer
10,10,2025-08-07,31780.65,UPI
11,11,2025-11-29,26207.5,Bank Transfer
12,12,2025-08-16,7429.82,Card
13,13,2025-05-05,41879.65,Card
14,14,2026-03-28,3333.89,Card
15,15,2025-12-19,11734.07,UPI
16,16,2026-03-13,26268.84,UPI
17,17,2025-05-23,6573.98,Card
18,18,2025-09-07,19404.19,UPI
19,19,2026-03-18,2250.66,Card
20,20,2026-03-16,9383.36,Bank Transfer
21,21,2025-10-09,42900.8,Card
22,22,2025-06-30,26361.12,Card
23,23,2025-09-17,10351.88,Bank Transfer
24,24,2026-03-14,40098.22,Card
25,25,2025-07-08,33290.43,Card
26,26,2025-05-08,42735.59,Bank Transfer
27,27,2025-09-23,22202.67,Card
28,28,2025-05-07,27218.37,Bank Transfer
29,29,2025-12-17,15774.33,UPI
30,30,2025-05-22,15265.06,Bank Transfer
31,31,2026-02-16,32441.55,UPI
32,32,2026-04-13,20143.25,Bank Transfer
33,33,2025-12-17,6784.27,UPI
34,34,2025-11-23,10728.04,Card
35,35,2026-03-19,11031.39,Bank Transfer
36,36,2026-04-19,45605.75,Card
37,37,2025-11-07,26447.57,UPI
38,38,2025-07-03,19069.88,Card
39,39,2025-08-03,41907.51,UPI
40,40,2025-04-26,33083.45,Card
41,41,2025-10-18,23006.23,Bank Transfer
42,42,2026-02-19,17606.0,UPI
43,43,2025-10-29,16437.59,Bank Transfer
44,44,2025-07-01,5072.72,UPI
45,45,2026-02-22,45276.39,UPI
46,46,2026-01-31,13435.96,UPI
47,47,2025-11-17,29350.71,UPI
48,48,2025-06-15,32454.4,Card
49,49,2025-08-10,39391.56,UPI
50,50,2025-05-10,3742.44,UPI
51,51,2026-01-03,28619.72,Card
52,52,2025-04-25,32175.08,Bank Transfer
53,53,2025-11-04,26885.81,Card
54,54,2025-06-29,32456.85,Card
55,55,2026-01-31,40643.16,Bank Transfer
56,56,2026-03-15,23403.88,UPI
57,57,2025-09-10,11621.98,Bank Transfer
58,58,2026-02-20,21623.82,UPI
59,59,2026-02-22,20771.31,Bank Transfer
60,60,2025-10-02,26849.37,Card
61,61,2025-08-22,6057.41,Bank Transfer
62,62,2025-05-14,25543.12,Bank Transfer
63,63,2025-07-15,29762.45,Bank Transfer
64,64,2025-04-25,46090.82,Card
65,65,2025-11-08,22027.5,Card
66,66,2025-04-25,47265.32,UPI
67,67,2025-09-05,44175.27,Card
68,68,2025-11-07,13449.7,Bank Transfer
69,69,2025-08-02,43738.19,UPI
70,70,2025-10-11,49441.75,Bank Transfer
71,71,2025-05-08,3494.31,UPI
72,72,2026-01-23,18036.74,UPI
73,73,2025-12-26,10469.66,Bank Transfer
74,74,2025-12-08,43349.04,Card
75,75,2025-09-11,38651.1,Card
76,76,2025-09-12,42327.56,Bank Transfer
77,77,2025-10-29,6538.34,Card
78,78,2025-09-02,1658.07,UPI
79,79,2025-08-31,31017.0,Card
80,80,2025-08-03,2882.5,UPI
81,81,2026-03-30,31410.89,Card
82,82,2025-07-13,48606.84,UPI
83,83,2025-04-27,43383.89,Bank Transfer
84,84,2025-10-19,18659.84,UPI
85,85,2025-11-07,46720.5,Card
86,86,2025-05-07,17686.4,UPI
87,87,2026-01-27,16057.08,UPI
88,88,2025-10-02,46329.06,UPI
89,89,2026-02-11,4770.4,Bank Transfer
90,90,2026-04-21,23290.35,UPI
91,91,2025-09-09,6992.46,UPI
92,92,2025-12-12,2309.45,UPI
93,93,2025-07-17,30118.19,Card
94,94,2025-10-09,22688.51,UPI
95,95,2025-08-21,21986.89,UPI
96,96,2025-11-18,38682.93,Card
97,97,2025-06-30,6056.03,Bank Transfer
98,98,2025-12-22,3227.9,Bank Transfer
99,99,2025-07-18,4495.89,Bank Transfer
100,100,2026-02-24,40430.33,UPI
101,101,2026-03-04,49897.18,Card
102,102,2026-02-05,27308.27,UPI
103,103,2025-08-17,1201.43,Bank Transfer
104,104,2026-02-28,1013.2,UPI
105,105,2025-09-14,48639.64,Bank Transfer
106,106,2026-01-10,2198.54,UPI
107,107,2025-10-30,21188.28,UPI
108,108,2025-05-04,29807.31,UPI
109,109,2025-08-03,43981.05,Card
110,110,2025-06-11,32459.22,Card
111,111,2025-12-17,15965.01,UPI
112,112,2025-11-26,36020.34,UPI
113,113,2025-05-26,31757.9,Bank Transfer
114,114,2026-03-26,25860.86,Bank Transfer
115,115,2025-08-19,49736.02,Card
116,116,2025-07-27,23998.5,Card
117,117,2026-02-08,9535.75,Card
118,118,2025-11-13,44232.67,UPI
119,119,2025-06-04,3676.54,UPI
120,120,2025-11-01,12134.91,UPI
121,121,2026-02-25,33138.49,Bank Transfer
122,122,2026-03-17,5094.9,Card
123,123,2026-04-21,43628.66,Bank Transfer
124,124,2025-06-15,30463.81,Card
125,125,2026-02-01,6298.96,Bank Transfer
126,126,2026-01-04,39352.88,UPI
127,127,2025-08-04,9640.55,Bank Transfer
128,128,2025-10-05,20729.0,Bank Transfer
129,129,2025-11-29,12603.01,UPI
130,130,2025-06-18,20089.41,Card
131,131,2025-07-02,19952.78,UPI
132,132,2025-10-04,39588.82,Card
133,133,2026-04-03,40941.23,Bank Transfer
134,134,2025-05-29,38107.24,UPI
135,135,2025-10-03,8025.0,UPI
136,136,2025-12-27,47849.94,UPI
137,137,2025-08-12,49403.44,Bank Transfer
138,138,2025-10-04,23733.98,UPI
139,139,2025-07-06,9055.26,Bank Transfer
140,140,2025-09-19,22240.39,UPI
141,141,2025-12-12,10247.24,Bank Transfer
142,142,2026-02-10,19888.38,UPI
143,143,2025-12-24,27759.17,Bank Transfer
144,144,2026-01-02,41639.81,UPI
145,145,2025-04-27,43292.4,UPI
146,146,2025-11-27,38536.01,Card
147,147,2025-09-14,2243.24,UPI
148,148,2025-08-16,33162.04,Bank Transfer
149,149,2026-04-03,22105.21,Bank Transfer
150,150,2026-03-27,42064.02,Card
151,151,2025-12-23,35626.94,UPI
152,152,2025-08-23,16534.74,UPI
153,153,2025-08-02,6853.91,Card
154,154,2026-01-14,35695.42,Bank Transfer
155,155,2025-09-28,995.18,UPI
156,156,2026-03-24,43608.26,UPI
157,157,2025-12-30,27710.94,Card
158,158,2026-03-15,13040.4,Card
159,159,2025-12-08,29546.36,UPI
160,160,2026-03-23,32076.92,Card
161,161,2026-04-04,48345.51,UPI
162,162,2025-11-14,20055.4,Bank Transfer
163,163,2025-09-03,15226.48,Card
164,164,2025-08-17,10466.99,Card
165,165,2026-04-17,13649.37,UPI
166,166,2026-03-26,19981.06,Bank Transfer
167,167,2025-12-04,21160.46,UPI
168,168,2025-11-01,32804.38,UPI
169,169,2026-01-02,25854.28,UPI
170,170,2025-07-16,42418.95,Card
171,171,2026-01-22,39601.06,Bank Transfer
172,172,2026-01-10,561.46,Card
173,173,2025-12-29,9660.6,Card
174,174,2026-03-27,16096.98,Card
175,175,2025-06-05,29331.35,Bank Transfer
176,176,2025-11-03,28537.53,Bank Transfer
177,177,2025-06-29,8870.65,Card
178,178,2025-12-10,29165.38,Bank Transfer
179,179,2026-03-13,1073.79,Card
180,180,2026-02-06,48120.05,Card
181,181,2026-04-05,39182.9,UPI
182,182,2025-08-26,15646.04,UPI
183,183,2025-07-20,2174.84,Card
184,184,2026-04-01,8401.0,Bank Transfer
185,185,2025-11-18,36825.23,Bank Transfer
186,186,2026-03-11,47102.26,Card
